time,data
2024/05/28 23:19:24.675399320,"[-7, 2, 4, 0, -3, 3, 0, -4]"
2024/05/28 23:19:24.684365476,"[1, 3, -2, -4, 1, -2, -5, 1]"
2024/05/28 23:19:24.684380264,"[0, 6, -3, -5, -2, 3, -4, -3]"
2024/05/28 23:19:24.697818360,"[3, 0, -3, -8, -2, 3, -2, -5]"
2024/05/28 23:19:24.697833765,"[-2, 0, 3, -14, -1, 8, -3, 1]"
2024/05/28 23:19:24.706810366,"[-1, 5, 8, 6, -1, 0, 12, -2]"
2024/05/28 23:19:24.706824692,"[2, 1, 4, -15, 4, 1, 4, -5]"
2024/05/28 23:19:24.712909673,"[4, -3, -1, -10, 4, -2, 6, -3]"
2024/05/28 23:19:24.712924157,"[0, -18, -12, -9, 0, -2, -7, 0]"
2024/05/28 23:19:24.721847180,"[-1, 8, 2, 2, -2, 2, -10, -1]"
2024/05/28 23:19:24.721866664,"[-4, 4, -1, 0, -3, -1, 2, 4]"
2024/05/28 23:19:24.735327158,"[-5, -2, -1, -4, 0, -5, -2, 0]"
2024/05/28 23:19:24.735345209,"[3, 1, 1, 16, -4, -4, 3, 6]"
2024/05/28 23:19:24.744412618,"[5, -2, -6, 5, -3, -2, -5, 11]"
2024/05/28 23:19:24.744436700,"[-1, 1, -4, -7, -2, -2, -4, 1]"
2024/05/28 23:19:24.757835602,"[6, 4, 5, -2, -1, 1, -3, -4]"
2024/05/28 23:19:24.757859037,"[3, 2, 1, -2, 2, -2, -9, -4]"
2024/05/28 23:19:24.766802895,"[-6, -2, -1, -8, 0, 2, -2, -5]"
2024/05/28 23:19:24.766816593,"[-3, -2, 2, 5, 1, -3, 1, -6]"
2024/05/28 23:19:24.772794991,"[-5, -3, 0, 1, -2, 1, 0, -8]"
2024/05/28 23:19:24.772808577,"[-4, 3, 2, 0, -2, -5, 3, -3]"
2024/05/28 23:19:24.781898797,"[-2, 1, -2, 3, -2, -2, 2, 0]"
2024/05/28 23:19:24.781912546,"[-3, 4, -7, 13, -6, -3, -2, 2]"
2024/05/28 23:19:24.795408591,"[-5, -7, -4, 85, 0, -3, 19, -2]"
2024/05/28 23:19:24.795422367,"[2, -2, -2, 11, -5, 1, 7, -1]"
2024/05/28 23:19:24.804410716,"[-1, 0, -2, 13, 2, 0, 4, 0]"
2024/05/28 23:19:24.804424544,"[5, -5, -1, -4, 2, -1, -1, -2]"
2024/05/28 23:19:24.817868339,"[5, -8, -6, -39, -4, 0, -6, 0]"
2024/05/28 23:19:24.817882235,"[3, -1, -3, -21, 2, 1, 5, -2]"
2024/05/28 23:19:24.826882498,"[-2, -1, -3, -15, 3, -1, 13, 1]"
2024/05/28 23:19:24.826896274,"[-1, 4, -3, -19, 1, 1, -2, -3]"
2024/05/28 23:19:24.832840188,"[1, 7, 3, -18, 0, 0, -9, 0]"
2024/05/28 23:19:24.832860823,"[-4, -1, 5, -1, -2, -3, -11, -3]"
2024/05/28 23:19:24.841895113,"[-3, 0, 6, -17, -1, 0, -8, 3]"
2024/05/28 23:19:24.841909004,"[-3, -5, 4, 1, -2, -5, -3, 3]"
2024/05/28 23:19:24.855280822,"[-2, -2, 0, -5, -6, -1, -13, 1]"
